🕘️更新时间,#genre#
江西卫视,http://39.150.98.32:7799/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
辽宁卫视,http://211.142.224.62:2023/paiptv/lnws.m3u8
辽宁卫视,http://222.85.50.23:6070/hls/25/index.m3u8$订阅源
辽宁卫视,http://live1.hrtn.net/live/lnwshd_3000.m3u8?auth_key=1761355085-020de51f1bdaedf92d9ea08ce6a17a47-0-c683004f16f44c8b306a401c0b316768$订阅源
辽宁卫视,http://183.188.111.173:9003/hls/35/index.m3u8$订阅源
辽宁卫视,http://39.150.98.32:7799/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
内蒙古卫视,http://39.150.98.32:7799/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://1.31.14.70:54321/hls/55/index.m3u8$订阅源
宁夏卫视,http://39.150.98.32:7799/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://39.150.98.32:7799/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://39.150.98.32:7799/tsfile/live/0140_1.m3u8$订阅源
青海卫视,http://39.150.98.32:7799/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
